Market,Customer,Business Segment,Category,Model,Color,SalesDate,SalesPeriod,ListPrice,UnitPrice,OrderQty,Sales Amount
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,1/1/2008,1/1/2008,3400,2040,3,6120
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,1/14/2008,1/1/2008,3375,2025,2,4050
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,1/30/2008,1/1/2008,3375,2025,3,6075
Southeast,Trusted Catalog Store,Clothing,Socks,Mountain Bike Socks,White,1/16/2008,1/1/2008,10,6,8,46
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,1/31/2008,1/1/2008,3400,2040,1,2040
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,1/23/2008,1/1/2008,3375,2025,3,6075
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,1/4/2008,1/1/2008,3400,2040,3,6120
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Silver,1/28/2008,1/1/2008,3400,2040,2,4080
Southeast,Trusted Catalog Store,Bikes,Mountain Bikes,Mountain-100,Black,1/30/2008,1/1/2008,3375,2025,2,4050
Southeast,Sports Sales and Rental,Bikes,Mountain Bikes,Mountain-100,Silver,1/4/2008,1/1/2008,3400,2040,2,4080
Southeast,Sports Sales and Rental,Bikes,Mountain Bikes,Mountain-100,Silver,1/5/2008,1/1/2008,3400,2040,3,6120
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Silver,1/28/2008,1/1/2008,1365,723,1,723
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Black,1/18/2008,1/1/2008,1350,715,1,715
Southeast,Sports Sales and Rental,Components,Mountain Frames,HL Mountain Frame,Silver,1/16/2008,1/1/2008,1365,819,3,2456
Southeast,Sports Sales and Rental,Bikes,Mountain Bikes,Mountain-100,Black,1/30/2008,1/1/2008,3375,2025,2,4050
