year,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Ethiopia,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,"Korea, Dem. Rep.","Korea, Rep.",Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Reunion,Romania,Rwanda,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovak Republic,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,United Kingdom,United States,Uruguay,Venezuela,Vietnam,West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1952,779.4453145,1601.056136,2449.008185,3520.610273,5911.315053,10039.595640000001,6137.076492,9867.084765000001,684.2441716,8343.105126999999,1062.7522,2677.3263469999997,973.5331947999999,851.2411407,2108.944355,2444.2866480000002,543.2552413,339.29645869999996,368.46928560000003,1172.667655,11367.16112,1071.310713,1178.665927,3939.9787890000002,400.44861099999997,2144.115096,1102.990936,780.5423257,2125.621418,2627.0094710000003,1388.594732,3119.23652,5586.53878,6876.14025,9692.385245,2669.529475,1397.7171369999999,3522.110717,1418.822445,3048.3029,375.6431231,328.94055710000004,362.1462796,6424.519071,7029.809327,4293.476475,485.2306591,7144.114393000001,911.2989371,3530.690067,2428.2377690000003,510.19649230000005,299.850319,1840.366939,2194.926204,3054.421209,5263.6738159999995,7267.688428,546.5657493,749.6816546,3035.326002,4129.766056,5210.280328,4086.522128,4931.404154999999,2898.5308809999997,3216.956347,1546.907807,853.5409189999999,1088.277758,1030.592226,108382.3529,4834.804067,298.8462121,575.5729961000001,2387.54806,1443.011715,369.1650802,1831.132894,452.3369807,743.1159097,1967.955707,3478.125529,786.5668575,2647.585601,1688.20357,468.5260381,331.0,2423.780443,545.8657228999999,8941.571858,10556.575659999999,3112.363948,761.879376,1077.281856,10095.42172,1828.230307,684.5971437999999,2480.380334,1952.3087010000002,3758.523437,1272.880995,4029.3296990000003,3068.319867,3081.959785,2718.885295,3144.613186,493.32387520000003,879.5835855,6459.5548229999995,1450.356983,3581.4594479999996,879.7877358,2315.138227,5074.659104,4215.041741,1135.749842,4725.295531000001,3834.0347420000003,1083.53203,1615.991129,1148.376626,8527.844662000001,14734.23275,1643.485354,1206.947913,716.6500721,757.7974177,859.8086567,3023.271928,1468.475631,1969.1009800000002,734.753484,9979.508487000001,13990.482080000002,5716.766744,7689.799761,605.0664917,1515.5923289999998,781.7175761,1147.388831,406.8841148
1957,820.8530296,1942.2842440000002,3013.976023,3827.9404649999997,6856.856212000001,10949.64959,8842.59803,11635.79945,661.6374577,9714.960623,959.6010805,2127.686326,1353.989176,918.2325348999999,2487.365989,3008.670727,617.1834647999999,379.56462810000005,434.0383364,1313.048099,12489.95006,1190.844328,1308.495577,4315.6227229999995,575.9870009,2323.805581,1211.1485480000001,905.8602302999999,2315.056572,2990.010802,1500.895925,4338.231617,6092.174359000001,8256.343918,11099.65935,2864.9690760000003,1544.402995,3780.5466509999997,1458.915272,3421.523218,426.0964081,344.16188589999996,378.90416319999997,7545.415386,8662.834898000001,4976.198099,520.9267111,10187.82665,1043.5615369999998,4916.299889,2617.155967,576.2670245,431.7904566000001,1726.887882,2220.487682,3629.076457,6040.180011,9244.001412,590.061996,858.9002707000001,3290.257643,6229.333562,5599.077872,5385.278451,6248.656232,4756.525781,4317.694365,1886.080591,944.4383152,1571.134655,1487.593537,113523.1329,6089.786934000001,335.99711510000003,620.9699901,3448.284395,1589.20275,416.36980639999996,1810.0669920000003,490.3821867,846.1202613,2034.037981,4131.546641,912.6626085,3682.259903,1642.002314,495.5868333000001,350.0,2621.448058,597.9363557999999,11276.193440000001,12247.39532,3457.415947,835.5234025000001,1100.5925630000002,11653.97304,2242.746551,747.0835292,2961.800905,2046.1547059999998,4245.256697999999,1547.9448439999999,4734.253019,3774.571743,3907.1561890000003,2769.451844,3943.370225,540.2893982999999,860.7369026,8157.591248000001,1567.653006,4981.090891,1004.484437,2843.104409,6093.2629799999995,5862.276629,1258.1474130000001,5487.104219,4564.80241,1072.546602,1770.3370739999998,1244.708364,9911.878226,17909.48973,2117.234893,1507.86129,698.5356073,793.5774147999999,925.9083201999999,4100.3934,1395.232468,2218.754257,774.3710692000001,11283.17795,14847.12712,6150.772969,9802.466526,676.2854477999999,1827.0677420000002,804.8304547,1311.956766,518.7642681
1962,853.1007099999999,2312.888958,2550.81688,4269.276742,7133.166023000001,12217.226859999999,10750.721109999999,12753.27514,686.3415537999999,10991.20676,949.4990641,2180.972546,1709.683679,983.6539764,3336.585802,4254.337839,722.5120206,355.2032273,496.9136476,1399.607441,13462.48555,1193.068753,1389.817618,4519.094331,487.6740183,2492.351109,1406.648278,896.3146335000001,2464.783157,3460.937025,1728.8694280000002,5477.890018,5180.75591,10136.86713,13583.31351,3020.989263,1662.137359,4086.114078,1693.335853,3776.8036270000002,582.8419713999999,380.99584330000005,419.4564161,9371.842561,10560.48553,6631.4592219999995,599.650276,12902.46291,1190.0411179999999,6017.190732999999,2750.364446,686.3736739,522.0343725,1796.589032,2291.1568350000002,4692.648271999999,7550.359877,10350.15906,658.3471509,849.2897700999999,4187.329802,8341.737815,6631.597314,7105.630706,8243.58234,5246.107524,6576.649461,2348.009158,896.9663732,1621.693598,1536.3443869999999,95458.11176,5714.560611,411.80062660000004,634.1951625,6757.0308159999995,1643.38711,427.90108560000004,2036.8849440000001,496.17434280000003,1055.8960359999999,2529.0674870000003,4581.609385,1056.353958,4649.593785,1566.353493,556.6863539,388.0,3173.215595,652.3968593,12790.849559999999,13175.678,3634.364406,997.7661127,1150.9274779999998,13450.40151,2924.638113,803.3427418,3536.540301,2148.027146,4957.037982,1649.5521529999999,5338.752143,4727.954889,5108.34463,3173.72334,4734.9975859999995,597.4730727000001,1071.551119,11626.41975,1654.988723,6289.629157,1116.6398769999998,3674.735572,7481.1075980000005,7402.303395,1369.488336,5768.729717,5693.843879,1074.4719599999999,1959.593767,1856.182125,12329.441920000001,20431.0927,2193.037133,1822.879028,722.0038073,1002.1991720000001,1067.5348099999999,4997.5239710000005,1660.30321,2322.8699079999997,767.2717397999999,12477.17707,16173.145859999999,5603.357717,8422.974165000001,772.0491602000001,2198.9563120000003,825.6232006,1452.725766,527.2721818
1967,836.1971382,2760.196931,3246.991771,5522.776375,8052.953020999999,14526.12465,12834.6024,14804.6727,721.1860862000001,13149.04119,1035.831411,2586.886053,2172.3524230000003,1214.709294,3429.864357,5577.0028,794.8265597,412.97751360000007,523.4323142,1508.453148,16076.58803,1136.056615,1196.810565,5106.654313,612.7056934,2678.729839,1876.029643,861.5932424,2677.9396420000003,4161.727834,2052.0504730000002,6960.297861,5690.268015,11399.44489,15937.21123,3020.0505129999997,1653.7230029999998,4579.074215,1814.880728,4358.595393,915.5960025,468.7949699,516.1186438,10921.63626,12999.91766,8358.761987,734.7829124,14745.62561,1125.69716,8513.097016,3242.5311469999997,708.7595409,715.5806402000001,1452.057666,2538.269358,6197.962814,9326.64467,13319.89568,700.7706107000001,762.4317721,5906.731804999999,8931.459811,7655.568963,8393.741404,10022.40131,6124.703450999999,9847.788606999999,2741.796252,1056.736457,2143.540609,2029.2281420000002,80894.88326,6006.983042,498.63902649999994,713.6036482999999,18772.75169,1634.047282,495.5147806,2277.742396,545.0098873,1421.145193,2475.387562,5754.733883,1226.04113,5907.850937,1711.04477,566.6691539,349.0,3793.694753,676.4422254,15363.25136,14463.918930000002,4643.393534000001,1054.384891,1014.5141039999999,16361.87647,4720.942687,942.4082588,4421.009084,2299.376311,5788.09333,1814.12743,6557.152776,6361.517993,6929.277714,4021.1757390000002,6470.866545,510.9637142,1384.840593,16903.04886,1612.404632,7991.707066,1206.043465,4977.41854,8412.902397,9405.489397,1284.7331800000002,7114.477970999999,7993.512294,1135.514326,1687.997641,2613.1016649999997,15258.29697,22966.14432,1881.923632,2643.8586809999997,848.2186575,1295.46066,1477.59676,5621.368472,1932.3601670000003,2826.3563870000003,908.9185217,14142.85089,19530.365569999998,5444.61962,9541.474188,637.1232887,2649.7150070000002,862.4421463,1777.0773179999999,569.7950712
1972,739.9811057999999,3313.422188,4182.663766,5473.288004999999,9443.038526,16788.62948,16661.6256,18268.65839,630.2336265,16672.14356,1085.796879,2980.331339,2860.16975,2263.6111140000003,4985.711467,6597.494398,854.7359763000001,464.0995039,421.6240257,1684.1465280000002,18970.57086,1070.013275,1104.103987,5494.024437,676.9000921,3264.660041,1937.577675,904.8960685000001,3213.152683,5118.146939,2378.201111,9164.090127,5305.445256,13108.4536,18866.20721,3694.2123520000005,2189.874499,5280.99471,2024.0081469999998,4520.246008,672.4122571,514.3242081999999,566.2439442000001,14358.8759,16107.19171,11401.948409999999,756.0868363,18016.180269999997,1178.223708,12724.82957,4031.4082710000002,741.6662307,820.2245876000001,1654.456946,2529.842345,8315.928145,10168.65611,15798.063619999999,724.032527,1111.107907,9613.818607,9576.037596,9530.772895999999,12786.93223,12269.27378,7433.889293000001,14778.78636,2110.856309,1222.359968,3701.6215030000003,3030.87665,109347.867,7486.384341,496.58159220000005,803.0054535,21011.497209999998,1748.562982,584.6219709,2849.09478,581.3688761,1586.851781,2575.4841579999998,6809.406690000001,1421.741975,7778.414017,1930.194975,724.9178037,357.0,3746.080948,674.7881296,18794.74567,16046.03728,4688.593267,954.2092363,1698.3888379999999,18965.05551,10618.03855,1049.938981,5364.2496630000005,2523.337977,5937.827283,1989.3740699999998,8006.506993000001,9022.247417,9123.041742,5047.658563,8011.414401999999,590.5806637999999,1532.985254,24837.42865,1597.712056,10522.067490000001,1353.759762,8597.756202,9674.167626,12383.4862,1254.576127,7765.962636,10638.75131,1213.39553,1659.652775,3364.836625,17832.02464,27195.113039999997,2571.423014,4062.523897,915.9850592,1524.3589359999999,1649.660188,6619.551418999999,2753.2859940000003,3450.69638,950.735869,15895.116409999999,21806.03594,5703.408898,10505.25966,699.5016441,3133.4092769999997,1265.047031,1773.498265,799.3621757999999
1977,786.11336,3533.0039100000004,4910.4167560000005,3008.647355,10079.026740000001,18334.197509999998,19749.4223,19340.10196,659.8772322000001,19117.97448,1029.161251,3548.097832,3528.481305,3214.857818,6660.118654,7612.240438,743.3870368,556.1032651,524.9721831999999,1783.432873,22090.88306,1109.374338,1133.98495,4756.763836,741.2374699,3815.80787,1172.603047,795.757282,3259.178978,5926.876967,2517.736547,11305.38517,6380.494965999999,14800.160619999999,20422.9015,3081.7610219999997,2681.9889,6679.62326,2785.493582,5138.922374,958.5668124,505.7538077,556.8083834,15605.422830000001,18292.635140000002,21745.57328,884.7552507000001,20512.92123,993.2239571,14195.524280000001,4879.992748,874.6858642999999,764.7259627999999,1874.2989309999998,3203.208066,11186.14125,11674.837370000001,19654.96247,813.3373230000001,1382.702056,11888.59508,14688.235069999999,11150.98113,13306.619209999999,14255.98475,6650.195573,16610.37701,2852.351568,1267.613204,4106.301249,4657.22102,59265.477139999995,8659.696836,745.3695408,640.3224382999999,21951.21176,1544.228586,663.2236766,3827.9215710000003,686.3952693,1497.492223,3710.9829630000004,7674.929108,1647.511665,9595.929904999999,2370.619976,502.31973339999996,371.0,3876.4859579999998,694.1124398,21209.0592,16233.7177,5486.371089,808.8970727999999,1981.9518059999998,23311.34939,11848.343920000001,1175.921193,5351.912144,3248.373311,6281.290854999999,2373.204287,9508.141454,10172.48572,9770.524921,4319.804067,9356.39724,670.0806011,1737.561657,34167.7626,1561.769116,12980.66956,1348.285159,11210.08948,10922.664040000001,15277.030169999998,1450.9925130000001,8028.651439,13236.92117,1348.775651,2202.9884230000002,3781.410618,18855.72521,26982.29052,3195.484582,5596.519826,962.4922932,1961.2246350000003,1532.776998,7899.554209000001,3120.876811,4269.122326,843.7331372000001,17428.74846,24072.63213,6504.339663000001,13143.95095,713.5371196000001,3682.8314939999996,1829.765177,1588.688299,685.5876821
1982,978.0114388000001,3630.880722,5745.160213,2756.953672,8997.897412,19477.009280000002,21597.083619999998,19211.14731,676.9818656,20979.84589,1277.897616,3156.510452,4126.613157,4551.14215,7030.835878,8224.191647,807.1985855,559.6032309999999,624.4754784,2367.983282,22898.79214,956.7529906999999,797.9081006,5095.665738000001,962.4213804999999,4397.575659,1267.100083,673.7478181,4879.507522,5262.734751,2602.710169,13221.82184,7316.9181069999995,15377.22855,21688.04048,2879.4680670000002,2861.092386,7213.7912670000005,3503.729636,4098.344175,927.8253427000001,524.8758493,577.8607471,18533.15761,20293.89746,15113.36194,835.8096107999999,22031.532740000002,876.032569,15268.420890000001,4820.49479,857.2503577,838.1239671,2011.1595489999997,3121.7607940000003,14560.530509999999,12545.99066,23269.6075,855.7235377000001,1516.872988,7608.334602,14517.90711,12618.321409999999,15367.0292,16537.4835,6068.05135,19384.10571,4161.415959,1348.225791,4106.525293,5622.942464,31354.03573,7640.519520999999,797.2631074,572.1995694,17364.275380000003,1302.878658,632.8039209,4920.355951,618.0140640999999,1481.150189,3688.037739,9611.147541,2000.603139,11222.58762,2702.620356,462.2114149,424.0,4191.100511,718.3730947,21399.46046,17632.4104,3470.3381560000003,909.7221354000001,1576.97375,26298.635309999998,12954.791009999999,1443.429832,7009.601598,4258.5036039999995,6434.501797,2603.273765,8451.531004,11753.84291,10330.98915,5267.219353,9605.314053,881.5706467,1890.2181170000001,33693.17525,1518.479984,15181.0927,1465.010784,15169.161119999999,11348.54585,17866.72175,1176.807031,8568.266228,13926.169969999999,1648.0797890000001,1895.544073,3895.384018,20667.38125,28397.715119999997,3761.8377149999997,7426.354773999999,874.2426069,2393.219781,1344.577953,9119.528607,3560.2331740000004,4241.356344,682.2662267999999,18232.42452,25009.55914,6920.223051000001,11152.410109999999,707.2357863,4336.032082,1977.5570100000002,1408.678565,788.8550411
1987,852.3959447999999,3738.9327350000003,5681.358539,2430.208311,9139.671389,21888.889030000002,23687.82607,18524.02406,751.9794035,22525.56308,1225.85601,2753.6914899999997,4314.114757,6205.88385,7807.095818000001,8239.854824,912.0631417000001,621.8188188999999,683.8955732000001,2602.664206,26626.515030000002,844.8763504000001,952.3861289999999,5547.063754,1378.904018,4903.2191,1315.980812,672.774812,4201.194936999999,5629.915318,2156.9560690000003,13822.58394,7532.924762999999,16310.4434,25116.17581,2880.102568,2899.842175,6481.776993,3885.4607100000003,4140.442097,966.8968149,521.1341333,573.7413142000001,21141.01223,22066.44214,11864.408440000001,611.6588611000001,24639.18566,847.0061135,16120.528390000001,4246.485974,805.5724717999999,736.4153921,1823.015995,3023.0966989999997,20038.472690000002,12986.47998,26923.206280000002,976.5126756000001,1748.356961,6642.881371,11643.57268,13872.86652,17122.47986,19207.234819999998,6351.237495,22375.941890000002,4448.679912,1361.936856,4106.4923149999995,8533.088805,28118.42998,5377.091329,773.9932140999999,506.1138573,11770.5898,1155.4419480000001,635.5173633999999,5249.802653,684.1715576,1421.603576,4783.586903,8688.156003,2338.008304,11732.51017,2755.046991,389.87618460000004,385.0,3693.7313369999997,775.6324501,23651.32361,19007.19129,2955.984375,668.3000228,1385.029563,31540.9748,18115.223130000002,1704.686583,7034.779161,3998.875695,6360.9434439999995,2189.634995,9082.351172,13039.30876,12281.34191,5303.377488,9696.273295,847.991217,1516.525457,21198.26136,1441.72072,15870.878509999999,1294.4477880000002,18861.53081,12037.26758,18678.53492,1093.244963,7825.823398,15764.98313,1876.766827,1507.819159,3984.8398119999997,23586.92927,30281.704589999998,3116.774285,11054.56175,831.8220794,2982.653773,1202.201361,7388.597823,3810.419296,5089.043686,617.7244065,21664.787669999998,29884.350410000003,7452.398969,9883.584648,820.7994449,5107.197384,1971.741538,1213.315116,706.1573059
1992,649.3413952000001,2497.4379010000002,5023.216647,2627.8456850000002,9308.41871,23424.76683,27042.01868,19035.579169999997,837.8101642999999,25575.57069,1191.207681,2961.699694,2546.781445,7954.111645,6950.283020999999,6302.6234380000005,931.7527731,631.6998778,682.3031755,1793.1632780000002,26342.88426,747.9055252,1058.0643,7596.125964,1655.784158,5444.648617,1246.90737,457.7191807,4016.239529,6160.416317,1648.073791,8447.794873,5592.843963,14297.021219999999,26406.73985,2377.1561920000004,3044.214214,7103.702595000001,3794.755195,4444.2317,1132.055034,582.8585102000001,421.3534653,20647.16499,24703.79615,13522.157519999999,665.6244126,26505.30317,925.0601539999999,17541.49634,4439.4508399999995,794.3484384,745.5398706,1456.309517,3081.694603,24757.60301,10535.62855,25144.39201,1164.406809,2383.140898,7235.653187999999,3745.6406869999996,17558.81555,18051.52254,22013.64486,7404.923685,26824.895109999998,3431.5936469999997,1341.9217210000002,3726.063507,12104.27872,34932.91959,6890.806854,977.4862724999999,636.6229191000001,9640.138501000001,1040.6761900000001,563.2000145,7277.912802,739.014375,1361.369784,6058.2538460000005,9472.384295,1785.402016,7003.339037000001,2948.047252,410.89682389999996,347.0,3804.537999,897.7403604,26790.94961,18363.324940000002,2170.151724,581.182725,1619.848217,33965.66115,18616.70691,1971.8294640000001,6618.74305,4196.411078,4446.380924,2279.3240170000004,7738.881247,16207.266630000002,14641.587109999999,6101.2558229999995,6598.409903,737.0685949,1428.777814,24841.617769999997,1367.899369,9325.068238,1068.696278,24769.8912,9498.467723,14214.71681,926.9602964,7225.0692579999995,18603.06452,2153.7392219999997,1492.197043,3553.0224,23880.01683,31871.5303,3340.542768,15215.6579,825.682454,4616.8965450000005,1034.298904,7370.990932,4332.720164,5678.348271,644.1707968999999,22705.09254,32003.93224,8137.004775,10733.926309999999,989.0231487,6017.654756,1879.496673,1210.884633,693.4207856
1997,635.341351,3193.054604,4797.295051,2277.140884,10967.28195,26997.936569999998,29095.920660000003,20292.01679,972.7700352,27561.196630000002,1232.975292,3326.143191,4766.355904,8647.142313,7957.980823999999,5970.38876,946.2949617999999,463.1151478,734.28517,1694.337469,28954.92589,740.5063317,1004.9613529999999,10118.053179999999,2289.234136,6117.3617460000005,1173.618235,312.188423,3484.1643759999997,6677.045314,1786.265407,9875.604515,5431.990415,16048.51424,29804.34567,1895.016984,3614.101285,7429.455876999999,4173.181797,5154.825496,2814.480755,913.4707900000001,515.8894013,23723.9502,25889.78487,14722.841880000002,653.7301704,27788.88416,1005.2458119999999,18747.69814,4684.313807,869.4497667999999,796.6644681,1341.7269310000001,3160.454906,28377.632189999997,11712.7768,28061.099660000003,1458.817442,3119.335603,8263.590301,3076.239795,24521.94713,20896.60924,24675.02446,7121.924704000001,28816.58499,3645.379572,1360.4850210000002,1690.756814,15993.52796,40300.61996,8754.96385,1186.147994,609.1739508,9467.446056,986.2958956,692.2758102999999,10132.90964,790.2579846,1483.1361359999999,7425.705295000001,9767.29753,1902.2521,6465.613349,2982.101858,472.34607710000006,415.0,3899.52426,1010.892138,30246.13063,21050.41377,2253.023004,580.3052092,1624.941275,41283.16433,19702.055809999998,2049.3505210000003,7113.692252,4247.400261,5838.347657,2536.534925,10159.58368,17641.03156,16999.4333,6071.941411,7346.547556999999,589.9445051,1339.076036,20586.69019,1392.368347,7914.320304000001,574.6481576,33519.4766,12126.23065,17161.10735,930.5964284,7479.188244,20445.29896,2664.477257,1632.2107640000002,3876.7684600000002,25266.59499,32135.323010000004,4014.238972,20206.82098,789.1862231,5852.625497,982.2869242999999,8792.573126000001,4876.798614,6601.429915,816.559081,26074.53136,35767.43303,9230.240708,10165.49518,1385.896769,7110.667619,2117.484526,1071.353818,792.4499602999999
