Make,Model,Type,Origin,MSRP,Invoice,MPG_City,MPG_Highway
Acura,MDX,SUV,Asia,36945.0,33337.0,17.0,23.0
Acura,RSX Type S 2dr,Sedan,Asia,23820.0,21761.0,24.0,31.0
Acura,TSX 4dr,Sedan,Asia,26990.0,24647.0,22.0,29.0
Acura,TL 4dr,Sedan,Asia,33195.0,30299.0,20.0,28.0
Acura,3.5 RL 4dr,Sedan,Asia,43755.0,39014.0,18.0,24.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,46100.0,41100.0,18.0,24.0
Acura,NSX coupe 2dr manual S,Sports,Asia,89765.0,79978.0,17.0,24.0
Audi,A4 1.8T 4dr,Sedan,Europe,25940.0,23508.0,22.0,31.0
Audi,A41.8T convertible 2dr,Sedan,Europe,35940.0,32506.0,23.0,30.0
Audi,A4 3.0 4dr,Sedan,Europe,31840.0,28846.0,20.0,28.0
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,33430.0,30366.0,17.0,26.0
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,34480.0,31388.0,18.0,25.0
Audi,A6 3.0 4dr,Sedan,Europe,36640.0,33129.0,20.0,27.0
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,39640.0,35992.0,18.0,25.0
Audi,A4 3.0 convertible 2dr,Sedan,Europe,42490.0,38325.0,20.0,27.0
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,44240.0,40075.0,18.0,25.0
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,42840.0,38840.0,18.0,25.0
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,49690.0,44936.0,17.0,24.0
Audi,A8 L Quattro 4dr,Sedan,Europe,69190.0,64740.0,17.0,24.0
Audi,S4 Quattro 4dr,Sedan,Europe,48040.0,43556.0,14.0,20.0
Audi,RS 6 4dr,Sports,Europe,84600.0,76417.0,15.0,22.0
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,35940.0,32512.0,20.0,28.0
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,37390.0,33891.0,20.0,28.0
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,40590.0,36739.0,21.0,29.0
Audi,A6 3.0 Avant Quattro,Wagon,Europe,40840.0,37060.0,18.0,25.0
Audi,S4 Avant Quattro,Wagon,Europe,49090.0,44446.0,15.0,21.0
BMW,X3 3.0i,SUV,Europe,37000.0,33873.0,16.0,23.0
BMW,X5 4.4i,SUV,Europe,52195.0,47720.0,16.0,22.0
BMW,325i 4dr,Sedan,Europe,28495.0,26155.0,20.0,29.0
BMW,325Ci 2dr,Sedan,Europe,30795.0,28245.0,20.0,29.0
BMW,325Ci convertible 2dr,Sedan,Europe,37995.0,34800.0,19.0,27.0
BMW,325xi 4dr,Sedan,Europe,30245.0,27745.0,19.0,27.0
BMW,330i 4dr,Sedan,Europe,35495.0,32525.0,20.0,30.0
BMW,330Ci 2dr,Sedan,Europe,36995.0,33890.0,20.0,30.0
BMW,330xi 4dr,Sedan,Europe,37245.0,34115.0,20.0,29.0
BMW,525i 4dr,Sedan,Europe,39995.0,36620.0,19.0,28.0
BMW,330Ci convertible 2dr,Sedan,Europe,44295.0,40530.0,19.0,28.0
BMW,530i 4dr,Sedan,Europe,44995.0,41170.0,20.0,30.0
BMW,545iA 4dr,Sedan,Europe,54995.0,50270.0,18.0,26.0
BMW,745i 4dr,Sedan,Europe,69195.0,63190.0,18.0,26.0
BMW,745Li 4dr,Sedan,Europe,73195.0,66830.0,18.0,26.0
BMW,M3 coupe 2dr,Sports,Europe,48195.0,44170.0,16.0,24.0
BMW,M3 convertible 2dr,Sports,Europe,56595.0,51815.0,16.0,23.0
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,33895.0,31065.0,20.0,28.0
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,41045.0,37575.0,21.0,29.0
BMW,325xi Sport,Wagon,Europe,32845.0,30110.0,19.0,26.0
Buick,Rainier,SUV,USA,37895.0,34357.0,15.0,21.0
Buick,Rendezvous CX,SUV,USA,26545.0,24085.0,19.0,26.0
Buick,Century Custom 4dr,Sedan,USA,22180.0,20351.0,20.0,30.0
Buick,LeSabre Custom 4dr,Sedan,USA,26470.0,24282.0,20.0,29.0
Buick,Regal LS 4dr,Sedan,USA,24895.0,22835.0,20.0,30.0
Buick,Regal GS 4dr,Sedan,USA,28345.0,26047.0,18.0,28.0
Buick,LeSabre Limited 4dr,Sedan,USA,32245.0,29566.0,20.0,29.0
Buick,Park Avenue 4dr,Sedan,USA,35545.0,32244.0,20.0,29.0
